Date,USDINR
27-05-2021 23:58,72.683
28-05-2021 23:58,72.3437
29-05-2021 23:58,72.3937
30-05-2021 23:58,72.3935
31-05-2021 23:58,72.4872
01-06-2021 23:58,72.855
02-06-2021 23:58,72.9651
03-06-2021 23:58,73.0442
04-06-2021 23:58,73.1468
05-06-2021 23:58,73.14705
06-06-2021 23:58,72.9097
07-06-2021 23:58,72.8094
08-06-2021 23:58,72.9753
09-06-2021 23:58,72.9853
10-06-2021 23:58,73.0123
11-06-2021 23:58,73.2288
12-06-2021 23:58,73.2318
13-06-2021 23:58,73.2316
14-06-2021 23:58,73.1808
15-06-2021 23:58,73.3447
16-06-2021 23:58,73.8241
17-06-2021 23:58,74.2539
18-06-2021 23:58,74.1396
19-06-2021 23:58,74.1441
20-06-2021 23:58,74.1439
21-06-2021 23:58,74.1352
22-06-2021 23:58,74.3322
23-06-2021 23:58,74.2469
24-06-2021 23:58,74.1903
25-06-2021 23:58,74.22
26-06-2021 23:58,74.225
27-06-2021 23:58,74.213
28-06-2021 23:58,74.2854
29-06-2021 23:58,74.2876
30-06-2021 23:58,74.371
01-07-2021 23:58,74.545
02-07-2021 23:58,74.7438
03-07-2021 23:58,74.511
04-07-2021 23:58,74.4818
05-07-2021 23:58,74.3178
06-07-2021 23:58,74.7629
07-07-2021 23:58,74.8219
08-07-2021 23:58,74.7214
09-07-2021 23:58,74.487
10-07-2021 23:58,74.48
11-07-2021 23:58,74.4905
12-07-2021 23:58,74.5417
13-07-2021 23:58,74.6591
14-07-2021 23:58,74.4691
15-07-2021 23:58,74.537
16-07-2021 23:58,74.9013
17-07-2021 23:58,74.603
18-07-2021 23:58,74.6318
19-07-2021 23:58,74.9934
20-07-2021 23:58,74.527
21-07-2021 23:58,74.4402
22-07-2021 23:58,74.452
23-07-2021 23:58,74.427
24-07-2021 23:58,74.42
25-07-2021 23:58,74.4489
26-07-2021 23:58,74.2895
27-07-2021 23:58,74.5023
28-07-2021 23:58,74.39
29-07-2021 23:58,74.252
30-07-2021 23:58,74.3778
31-07-2021 23:58,74.3793
01-08-2021 23:58,74.3791
02-08-2021 23:58,74.332
03-08-2021 23:58,74.2144
04-08-2021 23:58,74.184
05-08-2021 23:58,74.082
06-08-2021 23:58,74.2418
07-08-2021 23:58,74.203
08-08-2021 23:58,74.4914
09-08-2021 23:58,74.4662
10-08-2021 23:58,74.4355
11-08-2021 23:58,74.103
12-08-2021 23:58,74.2601
13-08-2021 23:58,74.214
14-08-2021 23:58,74.217
15-08-2021 23:58,74.2168
16-08-2021 23:58,74.135
17-08-2021 23:58,74.3645
18-08-2021 23:58,74.2698
19-08-2021 23:58,74.4293
20-08-2021 23:58,74.2978
21-08-2021 23:58,74.345
